Incident_Number,X,Y,Time,Date,Hour,Day,DayN,Month,Year,Council_District,Neighbourhood_Name
20152931718,3096312.435,10140241.07,50:00.0,20/10/2015,2050,Tuesday,3,10,2015,6,ANDERSON MILL
20153031536,3095905.442,10141514.07,37:00.0,30/10/2015,1637,Friday,6,10,2015,6,ANDERSON MILL
20161511412,3091362.402,10132326.07,42:00.0,30/05/2016,2042,Monday,2,5,2016,6,ANDERSON MILL
20161711588,3087586.436,10139259.08,23:00.0,19/06/2016,2223,Sunday,1,6,2016,6,ANDERSON MILL
20162131668,3091642.433,10139210.08,45:00.0,31/07/2016,2245,Sunday,1,7,2016,6,ANDERSON MILL
2017241402,3103765.387,10131277.05,03:00.0,24/01/2017,1903,Tuesday,3,1,2017,6,ANDERSON MILL
2017250395,3095322.447,10142661.07,40:00.0,24/01/2017,1740,Tuesday,3,1,2017,6,ANDERSON MILL
2018251703,3095404.449,10142489.07,00:00.0,25/01/2018,2300,Thursday,5,1,2018,6,ANDERSON MILL
20182081227,3103659.384,10130923.04,42:00.0,27/07/2018,1642,Friday,6,7,2018,6,ANDERSON MILL
20183241515,3091371.403,10132634.07,42:00.0,20/11/2018,2042,Tuesday,3,11,2018,6,ANDERSON MILL
20151730275,3083068.404,10131644.08,00:00.0,22/06/2015,600,Monday,2,6,2015,6,ANDERSON MILL
20161080280,3096302.436,10140415.07,38:00.0,17/04/2016,338,Sunday,1,4,2016,6,ANDERSON MILL
20181200182,3098232.407,10134663.06,04:00.0,30/04/2018,404,Monday,2,4,2018,6,ANDERSON MILL
20153030800,3093010.414,10135174.07,00:00.0,30/10/2015,0,Friday,6,10,2015,6,ANDERSON MILL
20172891832,3093978.449,10142321.08,31:00.0,17/10/2017,31,Tuesday,3,10,2017,6,ANDERSON MILL
20182250013,3094120.438,10140262.07,13:00.0,13/08/2018,13,Monday,2,8,2018,6,ANDERSON MILL
2016981543,3096057.438,10140386.07,35:00.0,07/04/2016,1935,Thursday,5,4,2016,6,ANDERSON MILL
20161940162,3094909.439,10140398.07,00:00.0,12/07/2016,200,Tuesday,3,7,2016,6,ANDERSON MILL
2017330064,3097649.414,10135648.06,54:00.0,02/02/2017,54,Thursday,5,2,2017,6,ANDERSON MILL
20171021652,3093844.432,10139238.07,12:00.0,12/04/2017,2112,Wednesday,4,4,2017,6,ANDERSON MILL
20171830602,3102013.391,10132038.05,00:00.0,02/07/2017,200,Sunday,1,7,2017,6,ANDERSON MILL
