CLUSTER,LOC_ID,X,Y,RADIUS,START_DATE,END_DATE,NUMBER_LOC,TEST_STAT,P_VALUE,OBSERVED,EXPECTED,ODE,GINI_CLUST,START_DATE_1,END_DATE_1
1,3158,3122250.00,10069000.00,6980.47,01/03/2016,31/05/2016,294,12.958337,0.06,59,28.13,2.1,F,42430.00,42521.00
2,494,3123880.00,10047700.00,11293.53,01/12/2016,28/02/2017,161,12.501484,0.092,44,18.65,2.36,F,42705.00,42794.00
3,1948,3125990.00,10081800.00,4521.62,01/09/2017,31/10/2017,36,10.683143,0.472,13,2.56,5.07,F,42979.00,43039.00
4,2070,3131660.00,10102600.00,0,01/08/2018,30/09/2018,1,10.568214,0.518,5,0.23,21.47,F,43313.00,43373.00
5,2657,3125300.00,10105200.00,918.48,01/08/2016,30/09/2016,6,10.159765,0.666,5,0.25,19.7,F,42583.00,42643.00
6,1313,3138830.00,10118500.00,822.11,01/12/2015,31/12/2015,2,10.081321,0.696,4,0.12,32.76,F,42339.00,42369.00
7,142,3125480.00,10090400.00,1671.52,01/03/2017,30/04/2017,23,9.573458,0.863,9,1.33,6.79,F,42795.00,42855.00
8,1731,3127000.00,10097000.00,2994.53,01/11/2016,30/11/2016,47,9.556275,0.865,11,2.05,5.37,F,42675.00,42704.00
9,381,3110770.00,10060900.00,1067.98,01/05/2017,30/09/2017,9,9.329902,0.925,9,1.37,6.58,F,42856.00,43008.00
10,1067,3111310.00,10073100.00,4011.95,01/06/2015,31/07/2015,58,9.080259,0.966,13,3,4.34,F,42156.00,42216.00
11,1446,3104500.00,10038700.00,4035.29,01/02/2018,30/04/2018,20,8.858874,0.983,10,1.82,5.49,F,43132.00,43220.00
12,160,3130170.00,10088500.00,3279.93,01/01/2018,28/02/2018,38,8.791736,0.988,13,3.09,4.21,F,43101.00,43159.00
13,2693,3129030.00,10108300.00,823.07,01/11/2017,30/11/2017,10,8.731098,0.991,7,0.83,8.39,F,43040.00,43069.00
14,121,3125210.00,10086600.00,563.99,01/01/2018,30/06/2018,8,8.725526,0.991,10,1.85,5.4,F,43101.00,43281.00
15,536,3126740.00,10122500.00,10561.41,01/05/2018,31/05/2018,88,8.65914,0.992,12,2.69,4.47,F,43221.00,43251.00
16,2294,3118970.00,10059200.00,1191.83,01/10/2015,31/01/2016,24,8.647775,0.992,20,6.67,3,F,42278.00,42400.00
17,2721,3123300.00,10109000.00,936.56,01/06/2015,30/09/2015,10,8.584603,0.993,7,0.85,8.2,F,42156.00,42277.00
18,239,3112990.00,10081500.00,4806.26,01/03/2015,30/04/2015,36,8.398795,0.996,9,1.55,5.81,F,42064.00,42124.00
