LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
3158                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12225e+06         1.0069e+07          F 
3154                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12223e+06         1.00687e+07         F 
3155                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12223e+06         1.00687e+07         F 
3149                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12248e+06         1.00687e+07         F 
3110                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12255e+06         1.00686e+07         F 
1639                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12227e+06         1.00685e+07         F 
1666                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12227e+06         1.00685e+07         F 
3114                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12263e+06         1.00686e+07         F 
1634                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12189e+06         1.00685e+07         F 
3104                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12282e+06         1.00685e+07         F 
1645                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1229e+06          1.00683e+07         F 
1635                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12124e+06         1.00687e+07         F 
1665                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12124e+06         1.00687e+07         F 
1649                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12125e+06         1.00685e+07         F 
1640                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.1214e+06          1.00682e+07         F 
1672                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.1214e+06          1.00682e+07         F 
3143                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12199e+06         1.00702e+07         F 
3123                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12093e+06         1.0069e+07          F 
3129                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1211e+06          1.00697e+07         F 
1663                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12127e+06         1.0068e+07          F 
1661                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12122e+06         1.0068e+07          F 
2232                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12365e+06         1.00685e+07         F 
2245                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12379e+06         1.00689e+07         F 
1646                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12331e+06         1.00678e+07         F 
3120                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12131e+06         1.00703e+07         F 
3150                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.12131e+06         1.00703e+07         F 
1668                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12328e+06         1.00676e+07         F 
2262                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12406e+06         1.00686e+07         F 
1667                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12137e+06         1.00673e+07         F 
1825                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12024e+06         1.00689e+07         F 
2226                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12422e+06         1.00685e+07         F 
3157                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12229e+06         1.00711e+07         F 
2229                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12427e+06         1.00684e+07         F 
1835                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12032e+06         1.0068e+07          F 
1655                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12296e+06         1.00669e+07         F 
2217                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12433e+06         1.00684e+07         F 
1875                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12013e+06         1.00685e+07         F 
1644                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12086e+06         1.00673e+07         F 
3162                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12111e+06         1.00709e+07         F 
1632                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.1243e+06          1.00679e+07         F 
1650                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.1243e+06          1.00679e+07         F 
1651                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.1243e+06          1.00679e+07         F 
1660                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12039e+06         1.00676e+07         F 
1664                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12358e+06         1.0067e+07          F 
2938                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12347e+06         1.00711e+07         F 
1654                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12344e+06         1.00668e+07         F 
1671                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12457e+06         1.00679e+07         F 
3131                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1218e+06          1.00715e+07         F 
1670                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12462e+06         1.00679e+07         F 
3125                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1222e+06          1.00716e+07         F 
3117                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1197e+06          1.00695e+07         F 
1633                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12466e+06         1.00679e+07         F 
1673                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12353e+06         1.00667e+07         F 
1809                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11984e+06         1.00679e+07         F 
1631                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.1218e+06          1.00664e+07         F 
1638                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.1218e+06          1.00664e+07         F 
1843                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11958e+06         1.00691e+07         F 
1870                            1                   0.0600              59                  28.13               2.10                n/a                 n/a                 n/a                 3.11958e+06         1.00691e+07         F 
2933                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12204e+06         1.00717e+07         F 
1656                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12471e+06         1.00679e+07         F 
2953                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12449e+06         1.00705e+07         F 
3138                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12171e+06         1.00716e+07         F 
1652                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12189e+06         1.00663e+07         F 
1653                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12097e+06         1.00666e+07         F 
1641                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12277e+06         1.00663e+07         F 
1829                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11949e+06         1.00691e+07         F 
2257                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12489e+06         1.00681e+07         F 
1858                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1199e+06          1.00675e+07         F 
1838                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11955e+06         1.00682e+07         F 
2228                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1251e+06          1.00688e+07         F 
1637                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12237e+06         1.00661e+07         F 
2929                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12275e+06         1.00718e+07         F 
1848                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11976e+06         1.00675e+07         F 
1657                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12385e+06         1.00666e+07         F 
1839                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11936e+06         1.00687e+07         F 
1856                            1                   0.0600              59                  28.13               2.10                1                   0.071               14.15               3.12006e+06         1.0067e+07          F 
1818                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11933e+06         1.00689e+07         F 
2956                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.1241e+06          1.00713e+07         F 
2225                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.12518e+06         1.00687e+07         F 
3141                            1                   0.0600              59                  28.13               2.10                0                   0.071               0                   3.11933e+06         1.00695e+07         F 
