CLUSTER             DATASET             CATEGORY            OBSERVED            EXPECTED            ODE                 
1                   1                   1                   59                  28.13               2.10                
2                   1                   1                   44                  18.65               2.36                
3                   1                   1                   13                  2.56                5.07                
4                   1                   1                   5                   0.23                21.47               
5                   1                   1                   5                   0.25                19.70               
6                   1                   1                   4                   0.12                32.76               
7                   1                   1                   9                   1.33                6.79                
8                   1                   1                   11                  2.05                5.37                
9                   1                   1                   9                   1.37                6.58                
10                  1                   1                   13                  3.00                4.34                
11                  1                   1                   10                  1.82                5.49                
12                  1                   1                   13                  3.09                4.21                
13                  1                   1                   7                   0.83                8.39                
14                  1                   1                   10                  1.85                5.40                
15                  1                   1                   12                  2.69                4.47                
16                  1                   1                   20                  6.67                3.00                
17                  1                   1                   7                   0.85                8.20                
18                  1                   1                   9                   1.55                5.81                
