CLUSTER             LOC_ID                          X                   Y                   RADIUS              START_DATE        END_DATE          NUMBER_LOC          TEST_STAT           P_VALUE             OBSERVED            EXPECTED            ODE                 GINI_CLUST
1                   3158                            3.12225e+06         1.0069e+07          6980.47             2016/3/1          2016/5/31         294                 12.958337           0.0600              59                  28.13               2.10                F 
2                   494                             3.12388e+06         1.00477e+07         11293.53            2016/12/1         2017/2/28         161                 12.501484           0.0920              44                  18.65               2.36                F 
3                   1948                            3.12599e+06         1.00818e+07         4521.62             2017/9/1          2017/10/31        36                  10.683143           0.472               13                  2.56                5.07                F 
4                   2070                            3.13166e+06         1.01026e+07         0                   2018/8/1          2018/9/30         1                   10.568214           0.518               5                   0.23                21.47               F 
5                   2657                            3.1253e+06          1.01052e+07         918.48              2016/8/1          2016/9/30         6                   10.159765           0.666               5                   0.25                19.70               F 
6                   1313                            3.13883e+06         1.01185e+07         822.11              2015/12/1         2015/12/31        2                   10.081321           0.696               4                   0.12                32.76               F 
7                   142                             3.12548e+06         1.00904e+07         1671.52             2017/3/1          2017/4/30         23                  9.573458            0.863               9                   1.33                6.79                F 
8                   1731                            3.127e+06           1.0097e+07          2994.53             2016/11/1         2016/11/30        47                  9.556275            0.865               11                  2.05                5.37                F 
9                   381                             3.11077e+06         1.00609e+07         1067.98             2017/5/1          2017/9/30         9                   9.329902            0.925               9                   1.37                6.58                F 
10                  1067                            3.11131e+06         1.00731e+07         4011.95             2015/6/1          2015/7/31         58                  9.080259            0.966               13                  3.00                4.34                F 
11                  1446                            3.1045e+06          1.00387e+07         4035.29             2018/2/1          2018/4/30         20                  8.858874            0.983               10                  1.82                5.49                F 
12                  160                             3.13017e+06         1.00885e+07         3279.93             2018/1/1          2018/2/28         38                  8.791736            0.988               13                  3.09                4.21                F 
13                  2693                            3.12903e+06         1.01083e+07         823.07              2017/11/1         2017/11/30        10                  8.731098            0.991               7                   0.83                8.39                F 
14                  121                             3.12521e+06         1.00866e+07         563.99              2018/1/1          2018/6/30         8                   8.725526            0.991               10                  1.85                5.40                F 
15                  536                             3.12674e+06         1.01225e+07         10561.41            2018/5/1          2018/5/31         88                  8.659140            0.992               12                  2.69                4.47                F 
16                  2294                            3.11897e+06         1.00592e+07         1191.83             2015/10/1         2016/1/31         24                  8.647775            0.992               20                  6.67                3.00                F 
17                  2721                            3.1233e+06          1.0109e+07          936.56              2015/6/1          2015/9/30         10                  8.584603            0.993               7                   0.85                8.20                F 
18                  239                             3.11299e+06         1.00815e+07         4806.26             2015/3/1          2015/4/30         36                  8.398795            0.996               9                   1.55                5.81                F 
