CLUSTER             LOC_ID                          X                   Y                   RADIUS              START_DATE        END_DATE          NUMBER_LOC          TEST_STAT           P_VALUE             GBL_PVALUE          OBSERVED            EXPECTED            ODE                 GINI_CLUST
1                   361                             3.11105e+06         1.00734e+07         3983.25             2015/6/1          2015/6/30         46                  7.445568            0.359               0.34                8                   1.38                5.78                F 
2                   1845                            3.11957e+06         1.00657e+07         5327.49             2015/7/1          2015/8/31         175                 6.977410            0.536               0.53                22                  8.85                2.48                F 
3                   2005                            3.10521e+06         1.00534e+07         2711.65             2015/2/1          2015/2/28         19                  6.933213            0.557               0.56                5                   0.51                9.80                F 
4                   1369                            3.14511e+06         1.01057e+07         14275.95            2015/12/1         2015/12/31        96                  6.725810            0.662               0.65                11                  2.86                3.85                F 
5                   455                             3.09574e+06         1.00555e+07         7847.43             2015/6/1          2015/6/30         49                  6.140548            0.878               0.89                7                   1.29                5.42                F 
6                   2058                            3.12999e+06         1.0097e+07          2777.76             2015/10/1         2015/10/31        12                  6.103587            0.891               0.90                5                   0.62                8.13                F 
7                   173                             3.131e+06           1.00865e+07         3167.20             2015/4/1          2015/4/30         33                  5.822242            0.968               0.97                6                   0.99                6.07                F 
8                   2279                            3.11979e+06         1.006e+07           0                   2015/11/1         2015/11/30        1                   5.784144            0.971               0.97                5                   0.66                7.56                F 
9                   224                             3.11404e+06         1.00808e+07         3024.72             2015/3/1          2015/4/30         22                  5.505973            0.993               0.99                7                   1.45                4.84                F 
10                  320                             3.13066e+06         1.00726e+07         5161.32             2015/1/1          2015/1/31         59                  5.363132            0.998               1.00                6                   1.08                5.53                F 
