CLUSTER,LOC_ID,X,Y,RADIUS,START_DATE,END_DATE,NUMBER_LOC,TEST_STAT,P_VALUE,GBL_PVALUE,OBSERVED,EXPECTED,ODE,GINI_CLUST,START_DATE_1,END_DATE_1
1,361,3110000,10100000,3983.25,01/06/2015,30/06/2015,46,7.445568,0.359,0.34,8,1.38,5.78,F,42156,42185
2,1845,3120000,10100000,5327.49,01/07/2015,31/08/2015,175,6.97741,0.536,0.53,22,8.85,2.48,F,42186,42247
3,2005,3110000,10100000,2711.65,01/02/2015,28/02/2015,19,6.933213,0.557,0.56,5,0.51,9.8,F,42036,42063
4,1369,3150000,10100000,14275.95,01/12/2015,31/12/2015,96,6.72581,0.662,0.65,11,2.86,3.85,F,42339,42369
5,455,3100000,10100000,7847.43,01/06/2015,30/06/2015,49,6.140548,0.878,0.89,7,1.29,5.42,F,42156,42185
6,2058,3130000,10100000,2777.76,01/10/2015,31/10/2015,12,6.103587,0.891,0.9,5,0.62,8.13,F,42278,42308
7,173,3130000,10100000,3167.2,01/04/2015,30/04/2015,33,5.822242,0.968,0.97,6,0.99,6.07,F,42095,42124
8,2279,3120000,10100000,0,01/11/2015,30/11/2015,1,5.784144,0.971,0.97,5,0.66,7.56,F,42309,42338
9,224,3110000,10100000,3024.72,01/03/2015,30/04/2015,22,5.505973,0.993,0.99,7,1.45,4.84,F,42064,42124
10,320,3130000,10100000,5161.32,01/01/2015,31/01/2015,59,5.363132,0.998,1,6,1.08,5.53,F,42005,42035
