LOC_ID                          CLUSTER             P_VALUE             GBL_PVALUE          CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
361                             1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11105e+06         1.00734e+07         F 
1067                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11131e+06         1.00731e+07         F 
1135                            1                   0.359               0.34                8                   1.38                5.78                n/a                 n/a                 n/a                 3.11134e+06         1.00731e+07         F 
1196                            1                   0.359               0.34                8                   1.38                5.78                n/a                 n/a                 n/a                 3.11134e+06         1.00731e+07         F 
952                             1                   0.359               0.34                8                   1.38                5.78                n/a                 n/a                 n/a                 3.11134e+06         1.00731e+07         F 
963                             1                   0.359               0.34                8                   1.38                5.78                n/a                 n/a                 n/a                 3.11134e+06         1.00731e+07         F 
970                             1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11157e+06         1.00728e+07         F 
1193                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11224e+06         1.00728e+07         F 
1061                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11106e+06         1.00718e+07         F 
1074                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11161e+06         1.00719e+07         F 
1177                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11245e+06         1.00724e+07         F 
937                             1                   0.359               0.34                8                   1.38                5.78                0                   0.092               0                   3.11141e+06         1.00717e+07         F 
1045                            1                   0.359               0.34                8                   1.38                5.78                n/a                 n/a                 n/a                 3.11074e+06         1.00716e+07         F 
944                             1                   0.359               0.34                8                   1.38                5.78                n/a                 n/a                 n/a                 3.11074e+06         1.00716e+07         F 
967                             1                   0.359               0.34                8                   1.38                5.78                n/a                 n/a                 n/a                 3.11074e+06         1.00716e+07         F 
979                             1                   0.359               0.34                8                   1.38                5.78                n/a                 n/a                 n/a                 3.11074e+06         1.00716e+07         F 
986                             1                   0.359               0.34                8                   1.38                5.78                n/a                 n/a                 n/a                 3.11074e+06         1.00716e+07         F 
1092                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11238e+06         1.00721e+07         F 
1084                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.112e+06           1.00715e+07         F 
956                             1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11212e+06         1.00715e+07         F 
1122                            1                   0.359               0.34                8                   1.38                5.78                0                   0.092               0                   3.11206e+06         1.00713e+07         F 
1150                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11145e+06         1.00711e+07         F 
1106                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11206e+06         1.00711e+07         F 
360                             1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.10981e+06         1.00712e+07         F 
1019                            1                   0.359               0.34                8                   1.38                5.78                1                   0.092               10.84               3.11251e+06         1.00713e+07         F 
1077                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11207e+06         1.0071e+07          F 
993                             1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11341e+06         1.00718e+07         F 
1181                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11381e+06         1.00745e+07         F 
1108                            1                   0.359               0.34                8                   1.38                5.78                1                   0.092               10.84               3.11318e+06         1.00711e+07         F 
1027                            1                   0.359               0.34                8                   1.38                5.78                1                   0.092               10.84               3.11394e+06         1.00745e+07         F 
254                             1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11131e+06         1.00765e+07         F 
362                             1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.1092e+06          1.00708e+07         F 
974                             1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11294e+06         1.00708e+07         F 
1119                            1                   0.359               0.34                8                   1.38                5.78                1                   0.092               10.84               3.11379e+06         1.00751e+07         F 
1146                            1                   0.359               0.34                8                   1.38                5.78                n/a                 n/a                 n/a                 3.11327e+06         1.0071e+07          F 
992                             1                   0.359               0.34                8                   1.38                5.78                n/a                 n/a                 n/a                 3.11327e+06         1.0071e+07          F 
1208                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11303e+06         1.00706e+07         F 
1213                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.113e+06           1.00704e+07         F 
1033                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11327e+06         1.00706e+07         F 
1054                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11345e+06         1.00706e+07         F 
242                             1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11291e+06         1.00766e+07         F 
357                             1                   0.359               0.34                8                   1.38                5.78                1                   0.092               10.84               3.10745e+06         1.00722e+07         F 
1088                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.1144e+06          1.00716e+07         F 
1056                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11457e+06         1.00719e+07         F 
1163                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11257e+06         1.00698e+07         F 
1217                            1                   0.359               0.34                8                   1.38                5.78                0                   0.092               0                   3.11481e+06         1.00725e+07         F 
1134                            1                   0.359               0.34                8                   1.38                5.78                1                   0.092               10.84               3.11471e+06         1.00721e+07         F 
1105                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11368e+06         1.00705e+07         F 
1018                            1                   0.359               0.34                8                   1.38                5.78                1                   0.092               10.84               3.11308e+06         1.007e+07           F 
962                             1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11448e+06         1.00715e+07         F 
257                             1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11399e+06         1.0076e+07          F 
1123                            1                   0.359               0.34                8                   1.38                5.78                0                   0.092               0                   3.11379e+06         1.00705e+07         F 
1046                            1                   0.359               0.34                8                   1.38                5.78                0                   0                   0                   3.11364e+06         1.00704e+07         F 
935                             1                   0.359               0.34                8                   1.38                5.78                1                   0.092               10.84               3.11276e+06         1.00698e+07         F 
1845                            2                   0.536               0.53                22                  8.85                2.48                0                   0.19                0                   3.11957e+06         1.00657e+07         F 
1630                            2                   0.536               0.53                22                  8.85                2.48                1                   0.19                5.20                3.11971e+06         1.00656e+07         F 
1662                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12011e+06         1.00659e+07         F 
1659                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11988e+06         1.00646e+07         F 
1800                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.12005e+06         1.00669e+07         F 
1810                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.12005e+06         1.00669e+07         F 
1811                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.12005e+06         1.00669e+07         F 
1822                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11834e+06         1.00662e+07         F 
1866                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11937e+06         1.00671e+07         F 
1856                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12006e+06         1.0067e+07          F 
1850                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11956e+06         1.00672e+07         F 
1814                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11906e+06         1.00673e+07         F 
1653                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12097e+06         1.00666e+07         F 
1867                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11885e+06         1.00674e+07         F 
1858                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.1199e+06          1.00675e+07         F 
1848                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11976e+06         1.00675e+07         F 
1660                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12039e+06         1.00676e+07         F 
1648                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.12165e+06         1.00657e+07         F 
1669                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.12165e+06         1.00657e+07         F 
1644                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12086e+06         1.00673e+07         F 
1809                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11984e+06         1.00679e+07         F 
1631                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.1218e+06          1.00664e+07         F 
1638                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.1218e+06          1.00664e+07         F 
1819                            2                   0.536               0.53                22                  8.85                2.48                1                   0.19                5.20                3.11933e+06         1.0068e+07          F 
1667                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12137e+06         1.00673e+07         F 
1862                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11874e+06         1.00679e+07         F 
1837                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11922e+06         1.00681e+07         F 
1652                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12189e+06         1.00663e+07         F 
1846                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11911e+06         1.0068e+07          F 
1852                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.11911e+06         1.0068e+07          F 
1835                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12032e+06         1.0068e+07          F 
1821                            2                   0.536               0.53                22                  8.85                2.48                0                   0.19                0                   3.11908e+06         1.00681e+07         F 
1647                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12187e+06         1.00647e+07         F 
1838                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11955e+06         1.00682e+07         F 
1817                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11722e+06         1.00667e+07         F 
1826                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11778e+06         1.00677e+07         F 
1854                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11922e+06         1.00684e+07         F 
1806                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11848e+06         1.00683e+07         F 
1804                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11911e+06         1.00685e+07         F 
1637                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12237e+06         1.00661e+07         F 
1661                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12122e+06         1.0068e+07          F 
1841                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11927e+06         1.00686e+07         F 
1842                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11674e+06         1.00651e+07         F 
1663                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12127e+06         1.0068e+07          F 
1875                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.12013e+06         1.00685e+07         F 
1847                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11654e+06         1.00656e+07         F 
1839                            2                   0.536               0.53                22                  8.85                2.48                1                   0.19                5.20                3.11936e+06         1.00687e+07         F 
1812                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11738e+06         1.00678e+07         F 
1640                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.1214e+06          1.00682e+07         F 
1672                            2                   0.536               0.53                22                  8.85                2.48                n/a                 n/a                 n/a                 3.1214e+06          1.00682e+07         F 
1818                            2                   0.536               0.53                22                  8.85                2.48                0                   0.19                0                   3.11933e+06         1.00689e+07         F 
1865                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11832e+06         1.00686e+07         F 
1805                            2                   0.536               0.53                22                  8.85                2.48                0                   0                   0                   3.11856e+06         1.00687e+07         F 
