CLUSTER             DATASET             CATEGORY            OBSERVED            EXPECTED            ODE                 
1                   1                   1                   8                   1.38                5.78                
2                   1                   1                   22                  8.85                2.48                
3                   1                   1                   5                   0.51                9.80                
4                   1                   1                   11                  2.86                3.85                
5                   1                   1                   7                   1.29                5.42                
6                   1                   1                   5                   0.62                8.13                
7                   1                   1                   6                   0.99                6.07                
8                   1                   1                   5                   0.66                7.56                
9                   1                   1                   7                   1.45                4.84                
10                  1                   1                   6                   1.08                5.53                
