CLUSTER             LOC_ID                          X                   Y                   RADIUS              START_DATE        END_DATE          NUMBER_LOC          TEST_STAT           P_VALUE             GBL_PVALUE          OBSERVED            EXPECTED            ODE                 GINI_CLUST
1                   2220                            3.1284e+06          1.00726e+07         10759.29            2016/9/1          2016/9/30         278                 11.179909           0.00300             0.0055              25                  8.22                3.04                F 
2                   494                             3.12388e+06         1.00477e+07         11249.68            2016/12/1         2016/12/31        158                 9.576093            0.0420              0.038               22                  7.35                2.99                F 
3                   3711                            3.0853e+06          1.00644e+07         23637.44            2016/1/1          2016/2/29         161                 8.437571            0.156               0.15                21                  7.38                2.85                F 
4                   3297                            3.12666e+06         1.00954e+07         3779.61             2016/11/1         2016/11/30        76                  7.583197            0.362               0.36                13                  3.51                3.71                F 
5                   3357                            3.11143e+06         1.01257e+07         12384.90            2016/12/1         2016/12/31        79                  7.239773            0.494               0.49                11                  2.68                4.10                F 
6                   2629                            3.1268e+06          1.01107e+07         5521.75             2016/10/1         2016/11/30        146                 6.118798            0.933               0.93                26                  12.08               2.15                F 
7                   2990                            3.11546e+06         1.00581e+07         2174.97             2016/10/1         2016/10/31        26                  5.869713            0.977               0.97                6                   0.98                6.13                F 
8                   2606                            3.10676e+06         1.00249e+07         16114.87            2016/7/1          2016/7/31         62                  5.638325            0.993               0.99                7                   1.41                4.96                F 
9                   3042                            3.1094e+06          1.00533e+07         2603.02             2016/3/1          2016/3/31         21                  5.400035            0.998               1.00                7                   1.47                4.75                F 
10                  1749                            3.12783e+06         1.01039e+07         813.21              2016/2/1          2016/3/31         8                   5.298760            0.998               1.00                6                   1.10                5.46                F 
