CLUSTER,LOC_ID,X,Y,RADIUS,START_DATE,END_DATE,NUMBER_LOC,TEST_STAT,P_VALUE,GBL_PVALUE,OBSERVED,EXPECTED,ODE,GINI_CLUST,START_DATE_1,END_DATE_1
1,2220,3130000,10100000,10759.29,01/09/2016,30/09/2016,278,11.179909,0.003,0.0055,25,8.22,3.04,F,42614,42643
2,494,3120000,10000000,11249.68,01/12/2016,31/12/2016,158,9.576093,0.042,0.038,22,7.35,2.99,F,42705,42735
3,3711,3090000,10100000,23637.44,01/01/2016,29/02/2016,161,8.437571,0.156,0.15,21,7.38,2.85,F,42370,42429
4,3297,3130000,10100000,3779.61,01/11/2016,30/11/2016,76,7.583197,0.362,0.36,13,3.51,3.71,F,42675,42704
5,3357,3110000,10100000,12384.9,01/12/2016,31/12/2016,79,7.239773,0.494,0.49,11,2.68,4.1,F,42705,42735
6,2629,3130000,10100000,5521.75,01/10/2016,30/11/2016,146,6.118798,0.933,0.93,26,12.08,2.15,F,42644,42704
7,2990,3120000,10100000,2174.97,01/10/2016,31/10/2016,26,5.869713,0.977,0.97,6,0.98,6.13,F,42644,42674
8,2606,3110000,10000000,16114.87,01/07/2016,31/07/2016,62,5.638325,0.993,0.99,7,1.41,4.96,F,42552,42582
9,3042,3110000,10100000,2603.02,01/03/2016,31/03/2016,21,5.400035,0.998,1,7,1.47,4.75,F,42430,42460
10,1749,3130000,10100000,813.21,01/02/2016,31/03/2016,8,5.29876,0.998,1,6,1.1,5.46,F,42401,42460
