LOC_ID                          CLUSTER             P_VALUE             GBL_PVALUE          CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
2220                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.1284e+06          1.00726e+07         F 
2224                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.1284e+06          1.00726e+07         F 
2233                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.1284e+06          1.00726e+07         F 
2246                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.1284e+06          1.00726e+07         F 
2247                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.1284e+06          1.00726e+07         F 
2253                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.1284e+06          1.00726e+07         F 
2256                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.1284e+06          1.00726e+07         F 
2218                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12822e+06         1.00728e+07         F 
2243                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12822e+06         1.00728e+07         F 
2252                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12822e+06         1.00728e+07         F 
2258                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12822e+06         1.00728e+07         F 
2260                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12822e+06         1.00728e+07         F 
2261                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12822e+06         1.00728e+07         F 
260                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12862e+06         1.00729e+07         F 
262                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12862e+06         1.00729e+07         F 
2227                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12843e+06         1.00731e+07         F 
2949                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12827e+06         1.00732e+07         F 
294                             1                   0.00300             0.0055              25                  8.22                3.04                0                   0.085               0                   3.12851e+06         1.00732e+07         F 
2242                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12869e+06         1.00719e+07         F 
2255                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12869e+06         1.00719e+07         F 
267                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12896e+06         1.00716e+07         F 
289                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12896e+06         1.00716e+07         F 
300                             1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12861e+06         1.00737e+07         F 
296                             1                   0.00300             0.0055              25                  8.22                3.04                1                   0.085               11.80               3.12953e+06         1.00719e+07         F 
2963                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12744e+06         1.00736e+07         F 
275                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12935e+06         1.00715e+07         F 
280                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12935e+06         1.00715e+07         F 
268                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12998e+06         1.00725e+07         F 
279                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12998e+06         1.00725e+07         F 
281                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12998e+06         1.00725e+07         F 
292                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12998e+06         1.00725e+07         F 
271                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12925e+06         1.00712e+07         F 
282                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12925e+06         1.00712e+07         F 
284                             1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.13011e+06         1.00721e+07         F 
2951                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12696e+06         1.00737e+07         F 
2939                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12696e+06         1.00737e+07         F 
2946                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12738e+06         1.00741e+07         F 
2955                            1                   0.00300             0.0055              25                  8.22                3.04                1                   0.085               11.80               3.12732e+06         1.00742e+07         F 
2932                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12664e+06         1.00737e+07         F 
2950                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.1264e+06          1.00733e+07         F 
2240                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12908e+06         1.00704e+07         F 
2248                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12908e+06         1.00704e+07         F 
320                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.13066e+06         1.00726e+07         F 
323                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.13066e+06         1.00726e+07         F 
325                             1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.13066e+06         1.00726e+07         F 
261                             1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12941e+06         1.00706e+07         F 
2943                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.1266e+06          1.00741e+07         F 
2219                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0.085               0                   3.12605e+06         1.00722e+07         F 
2947                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0.085               0                   3.12643e+06         1.00741e+07         F 
321                             1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.13092e+06         1.00728e+07         F 
2235                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12596e+06         1.00719e+07         F 
2259                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12596e+06         1.00719e+07         F 
2948                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0.085               0                   3.12589e+06         1.0072e+07          F 
2940                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12631e+06         1.00741e+07         F 
269                             1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12994e+06         1.00748e+07         F 
2936                            1                   0.00300             0.0055              25                  8.22                3.04                1                   0.085               11.80               3.12579e+06         1.00718e+07         F 
283                             1                   0.00300             0.0055              25                  8.22                3.04                0                   0.085               0                   3.12886e+06         1.00754e+07         F 
2930                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12555e+06         1.00719e+07         F 
2957                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12555e+06         1.00719e+07         F 
286                             1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.13003e+06         1.0075e+07          F 
299                             1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.13079e+06         1.00743e+07         F 
324                             1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.13126e+06         1.00718e+07         F 
2962                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12542e+06         1.00724e+07         F 
2935                            1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.12534e+06         1.00721e+07         F 
2944                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12539e+06         1.00737e+07         F 
2958                            1                   0.00300             0.0055              25                  8.22                3.04                n/a                 n/a                 n/a                 3.12539e+06         1.00737e+07         F 
322                             1                   0.00300             0.0055              25                  8.22                3.04                0                   0                   0                   3.13158e+06         1.00718e+07         F 
