CLUSTER             DATASET             CATEGORY            OBSERVED            EXPECTED            ODE                 
1                   1                   1                   25                  8.22                3.04                
2                   1                   1                   22                  7.35                2.99                
3                   1                   1                   21                  7.38                2.85                
4                   1                   1                   13                  3.51                3.71                
5                   1                   1                   11                  2.68                4.10                
6                   1                   1                   26                  12.08               2.15                
7                   1                   1                   6                   0.98                6.13                
8                   1                   1                   7                   1.41                4.96                
9                   1                   1                   7                   1.47                4.75                
10                  1                   1                   6                   1.10                5.46                
