LOC_ID                          CLUSTER             P_VALUE             GBL_PVALUE          CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
1838                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11955e+06         1.00682e+07         F 
1819                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11933e+06         1.0068e+07          F 
1854                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11922e+06         1.00684e+07         F 
1837                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11922e+06         1.00681e+07         F 
1841                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11927e+06         1.00686e+07         F 
1809                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.11984e+06         1.00679e+07         F 
1821                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11908e+06         1.00681e+07         F 
1846                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11911e+06         1.0068e+07          F 
1852                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11911e+06         1.0068e+07          F 
1804                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11911e+06         1.00685e+07         F 
1839                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11936e+06         1.00687e+07         F 
1818                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11933e+06         1.00689e+07         F 
1875                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12013e+06         1.00685e+07         F 
1848                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11976e+06         1.00675e+07         F 
1829                            1                   0.0250              0.024               18                  5.12                3.52                1                   0.10                9.57                3.11949e+06         1.00691e+07         F 
1835                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12032e+06         1.0068e+07          F 
1858                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.1199e+06          1.00675e+07         F 
1862                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11874e+06         1.00679e+07         F 
1843                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11958e+06         1.00691e+07         F 
1870                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11958e+06         1.00691e+07         F 
1825                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12024e+06         1.00689e+07         F 
1853                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11928e+06         1.00692e+07         F 
1820                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11925e+06         1.00692e+07         F 
1861                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11864e+06         1.00688e+07         F 
1806                            1                   0.0250              0.024               18                  5.12                3.52                1                   0.10                9.57                3.11848e+06         1.00683e+07         F 
1850                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11956e+06         1.00672e+07         F 
1660                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12039e+06         1.00676e+07         F 
1805                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11856e+06         1.00687e+07         F 
1814                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11906e+06         1.00673e+07         F 
1857                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11916e+06         1.00693e+07         F 
1867                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.11885e+06         1.00674e+07         F 
1866                            1                   0.0250              0.024               18                  5.12                3.52                1                   0.10                9.57                3.11937e+06         1.00671e+07         F 
3117                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.1197e+06          1.00695e+07         F 
1831                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11896e+06         1.00694e+07         F 
1864                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11896e+06         1.00694e+07         F 
1865                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.11832e+06         1.00686e+07         F 
3141                            1                   0.0250              0.024               18                  5.12                3.52                1                   0.10                9.57                3.11933e+06         1.00695e+07         F 
1856                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12006e+06         1.0067e+07          F 
1801                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11872e+06         1.00694e+07         F 
1800                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12005e+06         1.00669e+07         F 
1810                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12005e+06         1.00669e+07         F 
1811                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12005e+06         1.00669e+07         F 
3130                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.119e+06           1.00697e+07         F 
1834                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11863e+06         1.00695e+07         F 
3123                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.12093e+06         1.0069e+07          F 
3144                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11905e+06         1.00698e+07         F 
1644                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12086e+06         1.00673e+07         F 
1855                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11801e+06         1.00689e+07         F 
1661                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12122e+06         1.0068e+07          F 
1649                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.12125e+06         1.00685e+07         F 
1663                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12127e+06         1.0068e+07          F 
1635                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12124e+06         1.00687e+07         F 
1665                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12124e+06         1.00687e+07         F 
1871                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11831e+06         1.00696e+07         F 
1826                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11778e+06         1.00677e+07         F 
1640                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.1214e+06          1.00682e+07         F 
1672                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.1214e+06          1.00682e+07         F 
3109                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.11837e+06         1.00697e+07         F 
1851                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11761e+06         1.00687e+07         F 
3106                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11835e+06         1.00698e+07         F 
3111                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11835e+06         1.00698e+07         F 
1808                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.11785e+06         1.00693e+07         F 
3119                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.11876e+06         1.00702e+07         F 
1667                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.12137e+06         1.00673e+07         F 
3129                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.1211e+06          1.00697e+07         F 
1859                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11797e+06         1.00697e+07         F 
1653                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.12097e+06         1.00666e+07         F 
1812                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.11738e+06         1.00678e+07         F 
1816                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11779e+06         1.00696e+07         F 
1823                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11767e+06         1.00695e+07         F 
3159                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11803e+06         1.007e+07           F 
3105                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.1179e+06          1.00699e+07         F 
1634                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.12189e+06         1.00685e+07         F 
3148                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11833e+06         1.00703e+07         F 
1824                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11733e+06         1.00691e+07         F 
3147                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.11804e+06         1.00701e+07         F 
1849                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.1176e+06          1.00697e+07         F 
1822                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11834e+06         1.00662e+07         F 
3140                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11875e+06         1.00706e+07         F 
1662                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12011e+06         1.00659e+07         F 
3112                            1                   0.0250              0.024               18                  5.12                3.52                0                   0.10                0                   3.11782e+06         1.007e+07           F 
1845                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11957e+06         1.00657e+07         F 
1630                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11971e+06         1.00656e+07         F 
1827                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11743e+06         1.00699e+07         F 
1868                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11743e+06         1.00699e+07         F 
3120                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12131e+06         1.00703e+07         F 
3150                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12131e+06         1.00703e+07         F 
3154                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12223e+06         1.00687e+07         F 
3155                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12223e+06         1.00687e+07         F 
3153                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11788e+06         1.00704e+07         F 
3165                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11788e+06         1.00704e+07         F 
3168                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11788e+06         1.00704e+07         F 
1639                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12227e+06         1.00685e+07         F 
1666                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.12227e+06         1.00685e+07         F 
1873                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11682e+06         1.00686e+07         F 
1802                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11712e+06         1.00695e+07         F 
1863                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11712e+06         1.00695e+07         F 
1817                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11722e+06         1.00667e+07         F 
1830                            1                   0.0250              0.024               18                  5.12                3.52                1                   0.10                9.57                3.11725e+06         1.00699e+07         F 
3158                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.12225e+06         1.0069e+07          F 
3127                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11923e+06         1.00711e+07         F 
1813                            1                   0.0250              0.024               18                  5.12                3.52                0                   0                   0                   3.11675e+06         1.00689e+07         F 
1832                            1                   0.0250              0.024               18                  5.12                3.52                n/a                 n/a                 n/a                 3.11666e+06         1.00682e+07         F 
