LOC_ID                          CLUSTER             P_VALUE             GBL_PVALUE          CLU_OBS             CLU_EXP             CLU_ODE             LOC_OBS             LOC_EXP             LOC_ODE             LOC_X               LOC_Y               GINI_CLUST
3198                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11708e+06         1.00876e+07         F 
3199                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11704e+06         1.00882e+07         F 
3197                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11718e+06         1.00866e+07         F 
489                             1                   0.0540              0.044               34                  14.77               2.30                1                   0.095               10.56               3.11729e+06         1.00866e+07         F 
487                             1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11714e+06         1.00864e+07         F 
484                             1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11713e+06         1.00863e+07         F 
483                             1                   0.0540              0.044               34                  14.77               2.30                0                   0.095               0                   3.11741e+06         1.00858e+07         F 
486                             1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11853e+06         1.00858e+07         F 
488                             1                   0.0540              0.044               34                  14.77               2.30                1                   0.095               10.56               3.1167e+06          1.0085e+07          F 
3444                            1                   0.0540              0.044               34                  14.77               2.30                n/a                 n/a                 n/a                 3.11508e+06         1.009e+07           F 
3450                            1                   0.0540              0.044               34                  14.77               2.30                n/a                 n/a                 n/a                 3.11508e+06         1.009e+07           F 
2137                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11423e+06         1.00864e+07         F 
2140                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11482e+06         1.00903e+07         F 
3443                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.1184e+06          1.00911e+07         F 
485                             1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11973e+06         1.0085e+07          F 
1249                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.1198e+06          1.00849e+07         F 
3434                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.1185e+06          1.00912e+07         F 
1905                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.12069e+06         1.00891e+07         F 
1879                            1                   0.0540              0.044               34                  14.77               2.30                n/a                 n/a                 n/a                 3.11923e+06         1.00911e+07         F 
1880                            1                   0.0540              0.044               34                  14.77               2.30                n/a                 n/a                 n/a                 3.11923e+06         1.00911e+07         F 
3447                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11867e+06         1.00915e+07         F 
2141                            1                   0.0540              0.044               34                  14.77               2.30                0                   0.095               0                   3.11325e+06         1.00896e+07         F 
1904                            1                   0.0540              0.044               34                  14.77               2.30                1                   0.095               10.56               3.12141e+06         1.00876e+07         F 
1909                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.12156e+06         1.00885e+07         F 
237                             1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11392e+06         1.00842e+07         F 
3449                            1                   0.0540              0.044               34                  14.77               2.30                0                   0.095               0                   3.11499e+06         1.00918e+07         F 
3436                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11679e+06         1.00923e+07         F 
3446                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11707e+06         1.00926e+07         F 
3441                            1                   0.0540              0.044               34                  14.77               2.30                0                   0.095               0                   3.11697e+06         1.00926e+07         F 
3201                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11525e+06         1.00827e+07         F 
3034                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11477e+06         1.00926e+07         F 
3442                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11813e+06         1.00933e+07         F 
1907                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.12235e+06         1.00851e+07         F 
234                             1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11343e+06         1.00831e+07         F 
1911                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.12262e+06         1.00857e+07         F 
1906                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.12296e+06         1.0087e+07          F 
3448                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11582e+06         1.00934e+07         F 
1902                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.12203e+06         1.00844e+07         F 
3032                            1                   0.0540              0.044               34                  14.77               2.30                0                   0.095               0                   3.11431e+06         1.0093e+07          F 
223                             1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11332e+06         1.00829e+07         F 
450                             1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.11175e+06         1.00847e+07         F 
1903                            1                   0.0540              0.044               34                  14.77               2.30                0                   0                   0                   3.12223e+06         1.00841e+07         F 
